,district,year,implant_women_old,implant_women_new,injection2_women_old,injection2_women_new,injection3_women_old,injection3_women_new,pill_women_old,pill_women_new,iud_women_old,iud_women_new,iud_number_dispensed,implant_number_dispensed,injection2_number_dispensed,injection3_number_dispensed,pill_number_dispensed,iud_number_received,implant_number_received,injection2_number_received,injection3_number_received,pill_number_received,iud_stock_end,implant_stock_end,injection2_stock_end,injection3_stock_end,pill_stock_end
57,BONDOUKOU,2018,8248.0,902.0,1833.0,519.0,18204,3415,6329.0,705.0,379.0,96.0,30.0,1076.0,1254.0,10150.0,14612.0,1706.0,3745.0,6166.0,18384.0,24484.0,,4608.0,,15559.0,20918.0
58,BONDOUKOU,2017,4824.0,1073.0,1222.0,400.0,10903,2984,4618.0,637.0,347.0,116.0,34.0,1185.0,1451.0,9513.0,14991.0,1955.0,3334.0,5413.0,20731.0,27413.0,,3888.0,,20761.0,39349.0
59,BONDOUKOU,2016,1946.0,909.0,2306.0,334.0,7162,1998,3819.0,729.0,35.0,34.0,73.0,797.0,1025.0,6398.0,11729.0,795.0,2175.0,6913.0,14756.0,31294.0,,1332.0,,5507.0,29943.0
60,BONGOUANOU,2018,1195.0,123.0,380.0,64.0,2828,741,303.0,265.0,19.0,10.0,109.0,135.0,287.0,2781.0,1732.0,,432.0,611.0,2965.0,3092.0,,456.0,,1364.0,4362.0
61,BONGOUANOU,2017,921.0,144.0,339.0,80.0,1891,697,372.0,135.0,,,3.0,74.0,161.0,1631.0,1417.0,,180.0,315.0,1212.0,1939.0,,189.0,,772.0,1947.0
62,BONGOUANOU,2016,429.0,73.0,641.0,145.0,1829,409,768.0,216.0,74.0,8.0,3.0,57.0,583.0,1237.0,2434.0,15.0,93.0,751.0,1261.0,3949.0,,,,,
63,BOTRO,2018,1203.0,413.0,78.0,32.0,1272,544,155.0,77.0,3.0,,11.0,201.0,82.0,830.0,460.0,11.0,498.0,218.0,1158.0,1249.0,,681.0,,1520.0,1989.0
64,BOTRO,2017,607.0,284.0,93.0,34.0,1049,507,159.0,75.0,1.0,1.0,,176.0,78.0,756.0,659.0,,445.0,112.0,949.0,1949.0,,688.0,,1151.0,1644.0
65,BOTRO,2016,323.0,269.0,121.0,49.0,930,422,163.0,96.0,1.0,,,124.0,77.0,725.0,551.0,6.0,233.0,142.0,520.0,700.0,,,,,
66,BOUAFLE,2018,576.0,3959.0,862.0,360.0,11332,3762,1751.0,499.0,44.0,124.0,197.0,3990.0,1119.0,13920.0,8090.0,407.0,4177.0,1419.0,14070.0,9394.0,,6944.0,,26788.0,19169.0
67,BOUAFLE,2017,1131.0,1616.0,942.0,348.0,10332,3115,1331.0,580.0,90.0,129.0,144.0,1506.0,1388.0,10487.0,7933.0,189.0,2113.0,1380.0,11971.0,11207.0,,2768.0,,23403.0,19141.0
68,BOUAFLE,2016,1186.0,1204.0,2109.0,497.0,8897,2539,1688.0,495.0,138.0,134.0,168.0,1072.0,2119.0,7889.0,7277.0,324.0,1568.0,2599.0,10239.0,7231.0,,,,,
69,BOUAKE NORD-EST,2018,332.0,660.0,966.0,126.0,3740,1260,1057.0,187.0,43.0,34.0,1.0,418.0,841.0,3314.0,2714.0,20.0,540.0,796.0,3371.0,3024.0,,666.0,,3723.0,3855.0
70,BOUAKE NORD-EST,2017,254.0,441.0,855.0,314.0,3458,1066,1173.0,280.0,18.0,30.0,,349.0,798.0,3207.0,2498.0,3.0,356.0,847.0,3514.0,2709.0,,458.0,,3584.0,3685.0
71,BOUAKE NORD-EST,2016,18.0,266.0,1060.0,318.0,3433,1085,1160.0,293.0,,3.0,,230.0,1171.0,3985.0,3414.0,,315.0,1641.0,2641.0,3712.0,,,,,
72,BOUAKE NORD-OUEST,2018,5029.0,1043.0,925.0,145.0,5059,1262,1683.0,414.0,,2.0,,898.0,478.0,3544.0,2490.0,296.0,1003.0,1133.0,3066.0,2793.0,,2638.0,,14215.0,10978.0
73,BOUAKE NORD-OUEST,2017,3726.0,836.0,847.0,155.0,3832,944,1246.0,454.0,,17.0,8.0,694.0,523.0,2752.0,2400.0,243.0,829.0,938.0,4060.0,2785.0,,1021.0,,5850.0,7885.0
74,BOUAKE NORD-OUEST,2016,2933.0,458.0,1023.0,217.0,4001,1061,1987.0,343.0,,2.0,2.0,208.0,821.0,2730.0,2958.0,,322.0,1152.0,2542.0,2780.0,,,,,
75,BOUAKE-SUD,2018,5928.0,2151.0,2440.0,395.0,5530,1731,3611.0,624.0,157.0,92.0,15.0,982.0,797.0,4073.0,3118.0,863.0,1355.0,951.0,4497.0,4317.0,,3175.0,,9978.0,19407.0
76,BOUAKE-SUD,2017,2364.0,1797.0,2078.0,341.0,6194,1914,4209.0,542.0,43.0,120.0,7.0,725.0,768.0,4016.0,2859.0,205.0,1089.0,1095.0,5600.0,4457.0,,1741.0,,7611.0,20101.0
77,BOUAKE-SUD,2016,1136.0,1606.0,2600.0,462.0,6745,2152,4656.0,591.0,52.0,140.0,50.0,1072.0,1410.0,4701.0,5775.0,311.0,1077.0,6804.0,6283.0,10071.0,,,,,
78,BOUNA,2018,154.0,598.0,252.0,184.0,2914,1816,319.0,240.0,,36.0,36.0,632.0,410.0,4246.0,1497.0,440.0,1301.0,1129.0,6226.0,2266.0,,1050.0,,4796.0,4839.0
79,BOUNA,2017,17.0,246.0,469.0,193.0,2261,1241,131.0,90.0,1.0,2.0,2.0,245.0,643.0,3020.0,1322.0,61.0,481.0,835.0,4755.0,2763.0,,470.0,,5660.0,3509.0
80,BOUNA,2016,7.0,136.0,701.0,297.0,1772,1202,128.0,107.0,5.0,6.0,1.0,117.0,960.0,1583.0,1354.0,103.0,80.0,932.0,1889.0,1571.0,,,,,
81,BOUNDIALI,2018,1032.0,500.0,301.0,129.0,3477,1454,141.0,132.0,,,,1235.0,389.0,4021.0,562.0,1.0,10819.0,538.0,4986.0,909.0,,1497.0,,4815.0,1990.0
82,BOUNDIALI,2017,271.0,260.0,224.0,100.0,3138,1931,104.0,357.0,,1.0,1.0,235.0,138.0,3315.0,631.0,20.0,372.0,257.0,4990.0,1004.0,,582.0,,2180.0,3739.0
83,BOUNDIALI,2016,66.0,123.0,83.0,122.0,2299,1205,186.0,81.0,6.0,1.0,1.0,76.0,130.0,1730.0,877.0,,98.0,192.0,1909.0,342.0,,257.0,,980.0,1981.0
84,BUYO,2018,1248.0,395.0,167.0,92.0,2047,734,176.0,102.0,35.0,6.0,9.0,435.0,254.0,2330.0,1043.0,5.0,1590.0,1607.0,4120.0,2533.0,,1476.0,,2184.0,2121.0
85,BUYO,2017,824.0,337.0,142.0,76.0,1477,504,157.0,57.0,101.0,8.0,2.0,335.0,242.0,1736.0,503.0,4.0,773.0,799.0,2651.0,1533.0,,633.0,,1341.0,1358.0
86,BUYO,2016,583.0,164.0,172.0,86.0,1358,379,187.0,63.0,48.0,1.0,8.0,218.0,264.0,1320.0,543.0,24.0,459.0,1561.0,1934.0,1235.0,,,,,
87,COCODY - BINGERVILLE,2018,2624.0,1794.0,6228.0,1102.0,13215,2979,4093.0,769.0,360.0,166.0,146.0,1858.0,7248.0,11065.0,12053.0,379.0,3462.0,9804.0,12425.0,19575.0,,3215.0,,9022.0,17357.0
88,COCODY - BINGERVILLE,2017,882.0,1224.0,9088.0,1414.0,10360,2803,3341.0,987.0,147.0,129.0,187.0,1252.0,7786.0,9649.0,11576.0,468.0,1150.0,8459.0,7372.0,11959.0,,1451.0,,4923.0,16847.0
89,COCODY - BINGERVILLE,2016,793.0,587.0,4969.0,1320.0,8711,1777,3138.0,852.0,645.0,66.0,28.0,284.0,4521.0,5384.0,6658.0,112.0,274.0,5234.0,2696.0,10284.0,,,,,
90,DABAKALA,2018,1473.0,703.0,41.0,15.0,6588,2028,292.0,98.0,2.0,208.0,28.0,733.0,13.0,7519.0,1612.0,66.0,1486.0,16.0,9061.0,3379.0,,1618.0,,4060.0,4110.0
91,DABAKALA,2017,701.0,705.0,95.0,43.0,5189,2569,587.0,123.0,,3.0,29.0,742.0,144.0,7251.0,1760.0,15.0,1582.0,239.0,9330.0,4084.0,,1565.0,,4141.0,4053.0
92,DABAKALA,2016,186.0,649.0,401.0,187.0,4862,1847,1641.0,350.0,,,,680.0,431.0,6399.0,3222.0,,807.0,1234.0,7240.0,4999.0,,208.0,,1024.0,2975.0
93,DABOU,2018,269.0,860.0,2040.0,868.0,3828,1126,461.0,175.0,41.0,5.0,23.0,885.0,2874.0,4740.0,2546.0,55.0,1137.0,3300.0,4432.0,3066.0,,1890.0,,6374.0,10065.0
94,DABOU,2017,387.0,1168.0,1063.0,281.0,4588,979,645.0,204.0,32.0,34.0,20.0,1117.0,1296.0,5185.0,4915.0,34.0,1131.0,1495.0,4994.0,4452.0,,969.0,,4899.0,7531.0
95,DABOU,2016,384.0,749.0,3570.0,294.0,2755,553,823.0,92.0,21.0,18.0,38.0,988.0,3835.0,2523.0,3067.0,50.0,941.0,4264.0,2312.0,3624.0,,,,,
96,DALOA,2018,3108.0,2759.0,4876.0,918.0,10617,2155,1711.0,385.0,312.0,343.0,360.0,2326.0,4633.0,6212.0,6128.0,108.0,3057.0,1776.0,6458.0,2850.0,,3780.0,,12020.0,12959.0
97,DALOA,2017,2220.0,1796.0,1921.0,576.0,9131,2565,2297.0,464.0,392.0,183.0,293.0,1686.0,2205.0,9033.0,7230.0,20.0,2141.0,2409.0,8922.0,4144.0,,3016.0,,10769.0,10086.0
98,DALOA,2016,1907.0,1379.0,2842.0,647.0,8852,2206,2144.0,425.0,520.0,187.0,300.0,1469.0,2996.0,8587.0,6439.0,82.0,1862.0,3646.0,8064.0,4099.0,,526.0,,2359.0,2650.0
99,DANANE,2018,4111.0,632.0,1925.0,68.0,15152,1231,1183.0,145.0,98.0,15.0,11.0,507.0,94.0,2418.0,484.0,61.0,1015.0,264.0,4125.0,997.0,,976.0,,3269.0,843.0
100,DANANE,2017,279.0,732.0,535.0,77.0,2312,1226,332.0,218.0,10.0,40.0,17.0,599.0,66.0,2223.0,423.0,100.0,1197.0,85.0,3450.0,869.0,,891.0,,2416.0,713.0
101,DANANE,2016,300.0,570.0,576.0,256.0,3354,601,465.0,221.0,,1.0,11.0,850.0,792.0,3811.0,731.0,10.0,684.0,924.0,1434.0,1313.0,,,,5.0,
102,DAOUKRO,2018,155.0,563.0,633.0,157.0,3426,1128,1641.0,373.0,,2.0,43.0,519.0,768.0,3436.0,3210.0,56.0,828.0,1363.0,4670.0,4827.0,,1693.0,,5352.0,5100.0
103,DAOUKRO,2017,77.0,326.0,749.0,205.0,2901,879,1267.0,284.0,7.0,2.0,3.0,143.0,381.0,1304.0,1447.0,,165.0,786.0,1573.0,3549.0,,225.0,,1027.0,3145.0
104,DAOUKRO,2016,156.0,156.0,953.0,267.0,2253,807,1486.0,401.0,,2.0,,137.0,1187.0,1663.0,5418.0,,214.0,1219.0,1281.0,7483.0,,,,,
105,DIANRA,2018,30.0,208.0,53.0,54.0,634,264,5.0,2.0,,14.0,,205.0,86.0,442.0,79.0,,471.0,390.0,728.0,223.0,,285.0,,254.0,117.0
106,DIANRA,2017,34.0,237.0,76.0,59.0,441,340,5.0,2.0,,22.0,,152.0,70.0,177.0,87.0,,382.0,255.0,419.0,225.0,,169.0,,163.0,116.0
107,DIANRA,2016,38.0,167.0,52.0,31.0,274,125,8.0,,,31.0,,127.0,31.0,49.0,63.0,,304.0,154.0,166.0,243.0,,,,,
108,DIDIEVI,2018,5018.0,116.0,125.0,8.0,10698,531,1515.0,78.0,,2.0,5.0,111.0,42.0,1418.0,741.0,7.0,264.0,277.0,3248.0,1257.0,,630.0,,3551.0,1989.0
109,DIDIEVI,2017,3928.0,162.0,343.0,31.0,8416,571,999.0,138.0,17.0,1.0,3.0,137.0,169.0,1354.0,1857.0,45.0,296.0,904.0,2894.0,2856.0,,449.0,,3755.0,2561.0
110,DIDIEVI,2016,2358.0,150.0,530.0,44.0,6065,491,848.0,100.0,21.0,2.0,1.0,150.0,446.0,1247.0,2052.0,6.0,395.0,1301.0,3115.0,3185.0,,122.0,,1349.0,383.0
111,DIKODOUGOU,2018,39.0,174.0,141.0,79.0,830,383,7.0,4.0,,4.0,,211.0,218.0,1211.0,31.0,,371.0,602.0,1504.0,74.0,,311.0,,980.0,195.0
112,DIKODOUGOU,2017,42.0,134.0,106.0,88.0,775,389,12.0,43.0,,1.0,,177.0,181.0,1136.0,57.0,,400.0,573.0,1507.0,73.0,,416.0,,1032.0,253.0
113,DIKODOUGOU,2016,17.0,93.0,70.0,70.0,598,334,10.0,10.0,,,,108.0,216.0,906.0,24.0,,218.0,484.0,1285.0,60.0,,88.0,,448.0,50.0
114,DIMBOKRO,2018,141.0,380.0,254.0,61.0,3428,825,985.0,239.0,41.0,37.0,18.0,457.0,308.0,3810.0,2302.0,120.0,961.0,905.0,4558.0,3323.0,,1866.0,,3372.0,2871.0
115,DIMBOKRO,2017,266.0,258.0,376.0,95.0,2073,596,755.0,299.0,,10.0,8.0,255.0,421.0,2437.0,2221.0,,341.0,1350.0,2773.0,3717.0,,580.0,,4127.0,5012.0
116,DIMBOKRO,2016,472.0,352.0,869.0,348.0,2103,1001,758.0,633.0,1.0,2.0,2.0,271.0,1147.0,1971.0,3150.0,,630.0,2622.0,2759.0,7487.0,,,,,1.0
117,DIVO,2018,6284.0,2461.0,2134.0,349.0,12835,2365,3806.0,626.0,139.0,65.0,95.0,1500.0,907.0,6224.0,47544.0,125.0,1898.0,1034.0,6906.0,50973.0,,1608.0,,4048.0,38481.0
118,DIVO,2017,2165.0,1145.0,1089.0,260.0,7074,1651,2106.0,408.0,78.0,14.0,49.0,1105.0,1148.0,5940.0,50638.0,,690.0,1071.0,5387.0,56788.0,,537.0,,2756.0,45928.0
119,DIVO,2016,248.0,142.0,1106.0,300.0,3513,891,1307.0,312.0,24.0,2.0,22.0,101.0,1281.0,2394.0,32057.0,7.0,210.0,1971.0,3204.0,41572.0,,,,348.0,14070.0
120,DOROPO,2018,198.0,237.0,94.0,74.0,1328,750,33.0,28.0,,,,205.0,134.0,1723.0,37.0,35.0,562.0,285.0,2892.0,170.0,,520.0,,1291.0,189.0
121,DOROPO,2017,41.0,143.0,117.0,116.0,779,291,61.0,21.0,,10.0,,103.0,103.0,757.0,339.0,5.0,288.0,246.0,1186.0,870.0,,220.0,,458.0,629.0
122,DOROPO,2016,18.0,128.0,78.0,56.0,456,247,72.0,62.0,,,,74.0,96.0,336.0,62.0,,93.0,157.0,393.0,86.0,,,,,
123,DUEKOUE,2018,16764.0,1407.0,2138.0,261.0,19483,2805,3046.0,157.0,15.0,20.0,5.0,920.0,140.0,2753.0,1163.0,56.0,1563.0,663.0,5136.0,3964.0,,1512.0,,4923.0,5472.0
124,DUEKOUE,2017,13884.0,987.0,2807.0,170.0,15411,2539,2218.0,207.0,352.0,49.0,49.0,570.0,348.0,3380.0,1673.0,77.0,1302.0,749.0,4703.0,3678.0,,1290.0,,3669.0,6674.0
125,DUEKOUE,2016,7565.0,1097.0,2342.0,379.0,10421,1803,1863.0,339.0,211.0,14.0,17.0,322.0,557.0,2446.0,1772.0,139.0,734.0,2026.0,3276.0,2767.0,,148.0,,1138.0,3007.0
