ID,prediction
2019 X 8 X C1010 X AS27137,0
2019 X 8 X C1010 X AS27138,0
2019 X 8 X C1010 X AS27133,0
2019 X 8 X C1063 X AS42018,0
2019 X 8 X C1063 X AS21126,0
2019 X 8 X C1063 X AS46000,0
2019 X 8 X C1063 X AS17005,0
2019 X 8 X C1063 X AS27134,0
2019 X 8 X C1063 X AS27132,0
2019 X 8 X C1063 X AS27000,0
2019 X 8 X C1063 X AS27139,0
2019 X 8 X C1063 X AS27137,0
2019 X 8 X C1063 X AS27138,0
2019 X 8 X C1063 X AS27133,0
2019 X 8 X C1011 X AS21126,0
2019 X 8 X C1011 X AS46000,0
2019 X 8 X C1011 X AS27134,0
2019 X 8 X C1011 X AS27132,0
2019 X 8 X C1011 X AS27000,0
2019 X 8 X C1011 X AS27139,0
2019 X 8 X C1011 X AS27137,0
2019 X 8 X C1011 X AS27138,0
2019 X 8 X C1011 X AS27133,0
2019 X 9 X C1011 X AS21126,0
2019 X 9 X C1011 X AS46000,0
2019 X 9 X C1011 X AS27134,0
2019 X 9 X C1011 X AS27132,0
2019 X 9 X C1011 X AS27000,0
2019 X 9 X C1011 X AS27139,0
2019 X 9 X C1011 X AS27137,0
2019 X 9 X C1011 X AS27138,0
2019 X 9 X C1011 X AS27133,0
2019 X 9 X C1026 X AS27134,0
2019 X 9 X C1026 X AS27132,0
2019 X 9 X C1026 X AS27000,0
2019 X 9 X C1026 X AS27137,0
2019 X 9 X C1026 X AS27138,0
2019 X 9 X C1026 X AS27133,0
2019 X 9 X C1063 X AS21126,0
2019 X 9 X C1063 X AS42018,0
2019 X 9 X C1063 X AS46000,0
2019 X 9 X C1063 X AS17005,0
2019 X 9 X C1063 X AS27134,0
2019 X 9 X C1063 X AS27132,0
2019 X 9 X C1063 X AS27000,0
2019 X 9 X C1063 X AS27139,0
2019 X 9 X C1063 X AS27137,0
2019 X 9 X C1063 X AS27138,0
2019 X 9 X C1063 X AS27133,0
2019 X 9 X C1066 X AS27134,0
2019 X 9 X C1066 X AS27132,0
2019 X 9 X C1066 X AS27000,0
2019 X 9 X C1066 X AS27137,0
2019 X 9 X C1066 X AS27138,0
2019 X 9 X C1066 X AS27133,0
2019 X 9 X C1010 X AS27134,0
2019 X 9 X C1010 X AS27132,0
2019 X 9 X C1010 X AS27000,0
2019 X 9 X C1010 X AS27137,0
2019 X 9 X C1010 X AS27138,0
2019 X 9 X C1010 X AS27133,0
2019 X 7 X C1008 X AS42018,0
2019 X 7 X C1008 X AS21126,0
2019 X 7 X C1008 X AS27134,0
2019 X 7 X C1008 X AS27132,0
2019 X 7 X C1008 X AS27000,0
2019 X 7 X C1008 X AS27137,0
2019 X 7 X C1008 X AS27138,0
2019 X 7 X C1008 X AS27133,0
2019 X 8 X C1008 X AS27134,0
2019 X 8 X C1008 X AS27000,0
2019 X 8 X C1008 X AS27137,0
2019 X 8 X C1008 X AS27138,0
2019 X 8 X C1008 X AS27133,0
2019 X 9 X C1008 X AS27134,0
2019 X 9 X C1008 X AS27000,0
2019 X 9 X C1008 X AS27137,0
2019 X 9 X C1008 X AS27138,0
2019 X 9 X C1008 X AS27133,0
2019 X 7 X C1679 X AS46000,0
2019 X 7 X C1679 X AS27134,0
2019 X 7 X C1679 X AS27000,0
2019 X 7 X C1679 X AS27139,0
2019 X 7 X C1679 X AS27138,0
2019 X 7 X C1679 X AS27133,0
2019 X 7 X C1082 X AS21126,0
2019 X 7 X C1082 X AS27134,0
2019 X 7 X C1082 X AS27132,0
2019 X 7 X C1082 X AS27000,0
2019 X 7 X C1082 X AS27137,0
2019 X 7 X C1082 X AS27138,0
2019 X 7 X C1082 X AS27133,0
2019 X 8 X C1082 X AS21126,0
2019 X 8 X C1082 X AS27134,0
2019 X 8 X C1082 X AS27132,0
2019 X 8 X C1082 X AS27000,0
2019 X 8 X C1082 X AS27137,0
2019 X 8 X C1082 X AS27138,0
2019 X 8 X C1082 X AS27133,0
2019 X 8 X C1679 X AS46000,0
2019 X 8 X C1679 X AS27134,0
2019 X 8 X C1679 X AS27000,0
2019 X 8 X C1679 X AS27139,0
2019 X 8 X C1679 X AS27138,0
2019 X 8 X C1679 X AS27133,0
2019 X 9 X C1082 X AS21126,0
2019 X 9 X C1082 X AS27134,0
2019 X 9 X C1082 X AS27132,0
2019 X 9 X C1082 X AS27000,0
2019 X 9 X C1082 X AS27137,0
2019 X 9 X C1082 X AS27138,0
2019 X 9 X C1082 X AS27133,0
2019 X 9 X C1679 X AS46000,0
2019 X 9 X C1679 X AS27000,0
2019 X 9 X C1679 X AS27139,0
2019 X 9 X C1679 X AS27138,0
2019 X 9 X C1679 X AS27133,0
2019 X 7 X C1106 X AS21126,0
2019 X 7 X C1106 X AS27134,0
2019 X 7 X C1106 X AS27132,0
2019 X 7 X C1106 X AS27000,0
2019 X 7 X C1106 X AS27138,0
2019 X 7 X C1106 X AS27133,0
2019 X 7 X C1681 X AS21126,0
2019 X 7 X C1681 X AS17005,0
2019 X 7 X C1681 X AS27134,0
2019 X 7 X C1681 X AS27132,0
2019 X 7 X C1681 X AS27000,0
2019 X 7 X C1681 X AS27137,0
2019 X 7 X C1681 X AS27138,0
2019 X 7 X C1681 X AS27133,0
2019 X 7 X C1062 X AS21126,0
2019 X 7 X C1062 X AS27134,0
2019 X 7 X C1062 X AS27132,0
2019 X 7 X C1062 X AS27000,0
2019 X 7 X C1062 X AS27139,0
2019 X 7 X C1062 X AS27137,0
2019 X 7 X C1062 X AS27138,0
2019 X 7 X C1062 X AS27133,0
2019 X 7 X C1034 X AS27134,0
2019 X 7 X C1034 X AS27132,0
2019 X 7 X C1034 X AS27000,0
2019 X 7 X C1034 X AS27138,0
2019 X 7 X C1034 X AS27133,0
2019 X 7 X C1413 X AS21126,0
2019 X 7 X C1413 X AS27134,0
2019 X 7 X C1413 X AS27132,0
2019 X 7 X C1413 X AS27000,0
2019 X 7 X C1413 X AS27138,0
2019 X 7 X C1413 X AS27133,0
2019 X 7 X C1054 X AS21126,0
2019 X 7 X C1054 X AS27134,0
2019 X 7 X C1054 X AS27132,0
2019 X 7 X C1054 X AS27000,0
2019 X 7 X C1054 X AS27137,0
2019 X 7 X C1054 X AS27138,0
2019 X 7 X C1054 X AS27133,0
2019 X 7 X C1014 X AS42018,0
2019 X 7 X C1014 X AS21126,0
2019 X 7 X C1014 X AS46000,0
2019 X 7 X C1014 X AS17005,0
2019 X 7 X C1014 X AS27134,0
2019 X 7 X C1014 X AS27132,0
2019 X 7 X C1014 X AS27000,0
2019 X 7 X C1014 X AS27139,0
2019 X 7 X C1014 X AS27137,0
2019 X 7 X C1014 X AS27138,0
2019 X 7 X C1014 X AS27133,0
2019 X 7 X C1059 X AS21126,0
2019 X 7 X C1059 X AS27134,0
2019 X 7 X C1059 X AS27132,0
2019 X 7 X C1059 X AS27000,0
2019 X 7 X C1059 X AS27137,0
2019 X 7 X C1059 X AS27138,0
2019 X 7 X C1059 X AS27133,0
2019 X 7 X C1051 X AS21126,0
2019 X 7 X C1051 X AS27134,0
2019 X 7 X C1051 X AS27132,0
2019 X 7 X C1051 X AS27000,0
2019 X 7 X C1051 X AS27137,0
2019 X 7 X C1051 X AS27138,0
2019 X 7 X C1051 X AS27133,0
2019 X 8 X C1413 X AS21126,0
2019 X 8 X C1413 X AS27134,0
2019 X 8 X C1413 X AS27132,0
2019 X 8 X C1413 X AS27000,0
2019 X 8 X C1413 X AS27138,0
2019 X 8 X C1413 X AS27133,0
2019 X 8 X C1054 X AS21126,0
2019 X 8 X C1054 X AS27134,0
2019 X 8 X C1054 X AS27132,0
2019 X 8 X C1054 X AS27000,0
2019 X 8 X C1054 X AS27137,0
2019 X 8 X C1054 X AS27138,0
2019 X 8 X C1054 X AS27133,0
2019 X 8 X C1014 X AS42018,0
2019 X 8 X C1014 X AS21126,0
2019 X 8 X C1014 X AS46000,0
2019 X 8 X C1014 X AS17005,0
2019 X 8 X C1014 X AS27134,0
2019 X 8 X C1014 X AS27132,0
2019 X 8 X C1014 X AS27000,0
2019 X 8 X C1014 X AS27139,0
2019 X 8 X C1014 X AS27137,0
2019 X 8 X C1014 X AS27138,0
2019 X 8 X C1014 X AS27133,0
2019 X 8 X C1059 X AS21126,0
2019 X 8 X C1059 X AS27134,0
2019 X 8 X C1059 X AS27132,0
2019 X 8 X C1059 X AS27000,0
2019 X 8 X C1059 X AS27137,0
2019 X 8 X C1059 X AS27138,0
2019 X 8 X C1059 X AS27133,0
2019 X 8 X C1051 X AS21126,0
2019 X 8 X C1051 X AS27134,0
2019 X 8 X C1051 X AS27132,0
2019 X 8 X C1051 X AS27000,0
2019 X 8 X C1051 X AS27137,0
2019 X 8 X C1051 X AS27138,0
2019 X 8 X C1051 X AS27133,0
2019 X 8 X C1034 X AS27134,0
2019 X 8 X C1034 X AS27132,0
2019 X 8 X C1034 X AS27000,0
2019 X 8 X C1034 X AS27138,0
2019 X 8 X C1034 X AS27133,0
2019 X 8 X C1681 X AS21126,0
2019 X 8 X C1681 X AS17005,0
2019 X 8 X C1681 X AS27134,0
2019 X 8 X C1681 X AS27132,0
2019 X 8 X C1681 X AS27000,0
2019 X 8 X C1681 X AS27137,0
2019 X 8 X C1681 X AS27138,0
2019 X 8 X C1681 X AS27133,0
2019 X 8 X C1106 X AS21126,0
2019 X 8 X C1106 X AS27134,0
2019 X 8 X C1106 X AS27132,0
2019 X 8 X C1106 X AS27000,0
2019 X 8 X C1106 X AS27138,0
2019 X 8 X C1106 X AS27133,0
2019 X 8 X C1062 X AS21126,0
2019 X 8 X C1062 X AS27134,0
2019 X 8 X C1062 X AS27132,0
2019 X 8 X C1062 X AS27000,0
2019 X 8 X C1062 X AS27139,0
2019 X 8 X C1062 X AS27137,0
2019 X 8 X C1062 X AS27138,0
2019 X 8 X C1062 X AS27133,0
2019 X 9 X C1413 X AS21126,0
2019 X 9 X C1413 X AS27134,0
2019 X 9 X C1413 X AS27132,0
2019 X 9 X C1413 X AS27000,0
2019 X 9 X C1413 X AS27138,0
2019 X 9 X C1413 X AS27133,0
2019 X 9 X C1014 X AS42018,0
2019 X 9 X C1014 X AS21126,0
2019 X 9 X C1014 X AS46000,0
2019 X 9 X C1014 X AS17005,0
2019 X 9 X C1014 X AS27134,0
2019 X 9 X C1014 X AS27132,0
2019 X 9 X C1014 X AS27000,0
2019 X 9 X C1014 X AS27139,0
2019 X 9 X C1014 X AS27137,0
2019 X 9 X C1014 X AS27138,0
2019 X 9 X C1014 X AS27133,0
2019 X 9 X C1059 X AS27134,0
2019 X 9 X C1059 X AS27132,0
2019 X 9 X C1059 X AS27000,0
2019 X 9 X C1059 X AS27137,0
2019 X 9 X C1059 X AS27138,0
2019 X 9 X C1059 X AS27133,0
2019 X 9 X C1051 X AS27134,0
2019 X 9 X C1051 X AS27132,0
2019 X 9 X C1051 X AS27000,0
2019 X 9 X C1051 X AS27137,0
2019 X 9 X C1051 X AS27138,0
2019 X 9 X C1051 X AS27133,0
2019 X 9 X C1106 X AS21126,0
2019 X 9 X C1106 X AS27134,0
2019 X 9 X C1106 X AS27132,0
2019 X 9 X C1106 X AS27000,0
2019 X 9 X C1106 X AS27138,0
2019 X 9 X C1106 X AS27133,0
2019 X 9 X C1681 X AS21126,0
2019 X 9 X C1681 X AS17005,0
2019 X 9 X C1681 X AS27134,0
2019 X 9 X C1681 X AS27132,0
2019 X 9 X C1681 X AS27000,0
2019 X 9 X C1681 X AS27137,0
2019 X 9 X C1681 X AS27138,0
2019 X 9 X C1681 X AS27133,0
2019 X 9 X C1062 X AS21126,0
2019 X 9 X C1062 X AS27134,0
2019 X 9 X C1062 X AS27132,0
2019 X 9 X C1062 X AS27000,0
2019 X 9 X C1062 X AS27139,0
2019 X 9 X C1062 X AS27137,0
2019 X 9 X C1062 X AS27138,0
2019 X 9 X C1062 X AS27133,0
2019 X 9 X C1034 X AS27134,0
2019 X 9 X C1034 X AS27132,0
2019 X 9 X C1034 X AS27000,0
2019 X 9 X C1034 X AS27138,0
2019 X 9 X C1034 X AS27133,0
2019 X 9 X C1054 X AS21126,0
2019 X 9 X C1054 X AS27134,0
2019 X 9 X C1054 X AS27132,0
2019 X 9 X C1054 X AS27000,0
2019 X 9 X C1054 X AS27137,0
2019 X 9 X C1054 X AS27138,0
2019 X 9 X C1054 X AS27133,0
2019 X 7 X C4037 X AS21126,0
2019 X 7 X C4037 X AS46000,0
2019 X 7 X C4037 X AS27134,0
2019 X 7 X C4037 X AS27132,0
2019 X 7 X C4037 X AS27000,0
2019 X 7 X C4037 X AS27137,0
2019 X 7 X C4037 X AS27138,0
2019 X 7 X C4037 X AS27133,0
2019 X 8 X C4037 X AS21126,0
2019 X 8 X C4037 X AS46000,0
2019 X 8 X C4037 X AS27134,0
2019 X 8 X C4037 X AS27132,0
2019 X 8 X C4037 X AS27000,0
2019 X 8 X C4037 X AS27137,0
2019 X 8 X C4037 X AS27138,0
2019 X 8 X C4037 X AS27133,0
2019 X 9 X C4037 X AS21126,0
2019 X 9 X C4037 X AS46000,0
2019 X 9 X C4037 X AS27134,0
2019 X 9 X C4037 X AS27132,0
2019 X 9 X C4037 X AS27000,0
2019 X 9 X C4037 X AS27137,0
2019 X 9 X C4037 X AS27138,0
2019 X 9 X C4037 X AS27133,0
2019 X 7 X C1004 X AS27132,0
2019 X 7 X C1004 X AS27000,0
2019 X 7 X C1004 X AS27137,0
2019 X 7 X C1004 X AS27138,0
2019 X 7 X C1004 X AS27133,0
2019 X 8 X C1004 X AS27132,0
2019 X 8 X C1004 X AS27000,0
2019 X 8 X C1004 X AS27137,0
2019 X 8 X C1004 X AS27138,0
2019 X 8 X C1004 X AS27133,0
2019 X 9 X C1004 X AS21126,0
2019 X 9 X C1004 X AS27134,0
2019 X 9 X C1004 X AS27132,0
2019 X 9 X C1004 X AS27000,0
2019 X 9 X C1004 X AS27137,0
2019 X 9 X C1004 X AS27138,0
2019 X 9 X C1004 X AS27133,0
2019 X 7 X C4014 X AS21126,0
2019 X 7 X C4014 X AS27132,0
2019 X 7 X C4014 X AS27000,0
2019 X 7 X C4014 X AS27137,0
2019 X 8 X C4014 X AS21126,0
2019 X 8 X C4014 X AS27132,0
2019 X 8 X C4014 X AS27000,0
2019 X 8 X C4014 X AS27137,0
2019 X 9 X C4014 X AS21126,0
2019 X 9 X C4014 X AS27132,0
2019 X 9 X C4014 X AS27000,0
2019 X 9 X C4014 X AS27137,0
2019 X 7 X C4061 X AS21126,0
2019 X 7 X C4061 X AS27134,0
2019 X 7 X C4061 X AS27132,0
2019 X 7 X C4061 X AS27000,0
2019 X 7 X C4061 X AS27137,0
2019 X 7 X C4061 X AS27138,0
2019 X 7 X C4061 X AS27133,0
2019 X 7 X C4015 X AS27134,0
2019 X 7 X C4015 X AS27132,0
2019 X 7 X C4015 X AS27000,0
2019 X 7 X C4015 X AS27137,0
2019 X 7 X C4015 X AS27138,0
2019 X 7 X C4015 X AS27133,0
2019 X 7 X C4038 X AS42018,0
2019 X 7 X C4038 X AS21126,0
2019 X 7 X C4038 X AS27134,0
2019 X 7 X C4038 X AS27132,0
2019 X 7 X C4038 X AS27000,0
2019 X 7 X C4038 X AS27139,0
2019 X 7 X C4038 X AS27137,0
2019 X 7 X C4038 X AS27138,0
2019 X 7 X C4038 X AS27133,0
2019 X 8 X C4061 X AS21126,0
2019 X 8 X C4061 X AS27134,0
2019 X 8 X C4061 X AS27132,0
2019 X 8 X C4061 X AS27000,0
2019 X 8 X C4061 X AS27137,0
2019 X 8 X C4061 X AS27138,0
2019 X 8 X C4061 X AS27133,0
2019 X 8 X C4015 X AS27134,0
2019 X 8 X C4015 X AS27132,0
2019 X 8 X C4015 X AS27000,0
2019 X 8 X C4015 X AS27137,0
2019 X 8 X C4015 X AS27138,0
2019 X 8 X C4015 X AS27133,0
2019 X 8 X C4038 X AS21126,0
2019 X 8 X C4038 X AS42018,0
2019 X 8 X C4038 X AS27134,0
2019 X 8 X C4038 X AS27132,0
2019 X 8 X C4038 X AS27000,0
2019 X 8 X C4038 X AS27139,0
2019 X 8 X C4038 X AS27137,0
2019 X 8 X C4038 X AS27138,0
2019 X 8 X C4038 X AS27133,0
2019 X 9 X C4061 X AS21126,0
2019 X 9 X C4061 X AS27134,0
2019 X 9 X C4061 X AS27132,0
2019 X 9 X C4061 X AS27000,0
2019 X 9 X C4061 X AS27137,0
2019 X 9 X C4061 X AS27138,0
2019 X 9 X C4061 X AS27133,0
2019 X 9 X C4015 X AS27134,0
2019 X 9 X C4015 X AS27132,0
2019 X 9 X C4015 X AS27000,0
2019 X 9 X C4015 X AS27137,0
2019 X 9 X C4015 X AS27138,0
2019 X 9 X C4015 X AS27133,0
2019 X 9 X C4038 X AS42018,0
2019 X 9 X C4038 X AS21126,0
2019 X 9 X C4038 X AS27134,0
2019 X 9 X C4038 X AS27132,0
2019 X 9 X C4038 X AS27000,0
2019 X 9 X C4038 X AS27139,0
2019 X 9 X C4038 X AS27137,0
2019 X 9 X C4038 X AS27138,0
2019 X 9 X C4038 X AS27133,0
2019 X 7 X C1093 X AS46000,0
2019 X 7 X C1093 X AS27000,0
2019 X 7 X C1093 X AS27139,0
2019 X 7 X C1093 X AS27133,0
2019 X 7 X C1083 X AS46000,0
2019 X 7 X C1083 X AS27000,0
2019 X 7 X C1083 X AS27138,0
2019 X 7 X C1083 X AS27133,0
2019 X 8 X C1093 X AS46000,0
2019 X 8 X C1093 X AS27000,0
2019 X 8 X C1093 X AS27139,0
2019 X 8 X C1093 X AS27133,0
2019 X 8 X C1083 X AS46000,0
2019 X 8 X C1083 X AS27000,0
2019 X 8 X C1083 X AS27138,0
2019 X 8 X C1083 X AS27133,0
2019 X 9 X C1083 X AS46000,0
2019 X 9 X C1083 X AS27000,0
2019 X 9 X C1083 X AS27138,0
2019 X 9 X C1083 X AS27133,0
2019 X 9 X C1093 X AS46000,0
2019 X 9 X C1093 X AS27000,0
2019 X 9 X C1093 X AS27139,0
2019 X 9 X C1093 X AS27133,0
2019 X 7 X C1084 X AS21126,0
2019 X 7 X C1084 X AS17005,0
2019 X 7 X C1084 X AS27134,0
2019 X 7 X C1084 X AS27132,0
2019 X 7 X C1084 X AS27000,0
2019 X 7 X C1084 X AS27137,0
2019 X 7 X C1084 X AS27138,0
2019 X 7 X C1084 X AS27133,0
2019 X 8 X C1084 X AS21126,0
2019 X 8 X C1084 X AS17005,0
2019 X 8 X C1084 X AS27134,0
2019 X 8 X C1084 X AS27132,0
2019 X 8 X C1084 X AS27000,0
2019 X 8 X C1084 X AS27137,0
2019 X 8 X C1084 X AS27138,0
2019 X 8 X C1084 X AS27133,0
2019 X 9 X C1084 X AS21126,0
2019 X 9 X C1084 X AS17005,0
2019 X 9 X C1084 X AS27134,0
2019 X 9 X C1084 X AS27132,0
2019 X 9 X C1084 X AS27000,0
2019 X 9 X C1084 X AS27137,0
2019 X 9 X C1084 X AS27138,0
2019 X 9 X C1084 X AS27133,0
2019 X 7 X C5015 X AS21126,0
2019 X 7 X C5015 X AS46000,0
2019 X 7 X C5015 X AS27000,0
2019 X 7 X C5015 X AS27137,0
2019 X 7 X C5015 X AS27133,0
2019 X 8 X C5015 X AS21126,0
2019 X 8 X C5015 X AS46000,0
2019 X 8 X C5015 X AS27000,0
2019 X 8 X C5015 X AS27137,0
2019 X 8 X C5015 X AS27138,0
2019 X 8 X C5015 X AS27133,0
2019 X 9 X C5015 X AS21126,0
2019 X 9 X C5015 X AS46000,0
2019 X 9 X C5015 X AS27000,0
2019 X 9 X C5015 X AS27137,0
2019 X 9 X C5015 X AS27138,0
2019 X 9 X C5015 X AS27133,0
2019 X 7 X C2047 X AS27000,0
2019 X 7 X C2047 X AS27139,0
2019 X 7 X C2047 X AS27137,0
2019 X 7 X C2047 X AS27138,0
2019 X 7 X C2047 X AS27133,0
2019 X 8 X C2047 X AS27000,0
2019 X 8 X C2047 X AS27139,0
2019 X 8 X C2047 X AS27137,0
2019 X 8 X C2047 X AS27138,0
2019 X 8 X C2047 X AS27133,0
2019 X 9 X C2047 X AS27000,0
2019 X 9 X C2047 X AS27139,0
2019 X 9 X C2047 X AS27137,0
2019 X 9 X C2047 X AS27138,0
2019 X 9 X C2047 X AS27133,0
2019 X 7 X C4056 X AS21126,0
2019 X 7 X C4056 X AS27134,0
2019 X 7 X C4056 X AS27132,0
2019 X 7 X C4056 X AS27000,0
2019 X 7 X C4056 X AS27137,0
2019 X 7 X C4056 X AS27138,0
2019 X 7 X C4056 X AS27133,0
2019 X 8 X C4056 X AS21126,0
2019 X 8 X C4056 X AS27134,0
2019 X 8 X C4056 X AS27132,0
2019 X 8 X C4056 X AS27000,0
2019 X 8 X C4056 X AS27139,0
2019 X 8 X C4056 X AS27137,0
2019 X 8 X C4056 X AS27138,0
2019 X 8 X C4056 X AS27133,0
2019 X 9 X C4056 X AS21126,0
2019 X 9 X C4056 X AS27134,0
2019 X 9 X C4056 X AS27132,0
2019 X 9 X C4056 X AS27000,0
2019 X 9 X C4056 X AS27139,0
2019 X 9 X C4056 X AS27137,0
2019 X 9 X C4056 X AS27138,0
2019 X 9 X C4056 X AS27133,0
2019 X 7 X C5016 X AS27134,0
2019 X 7 X C5016 X AS27000,0
2019 X 7 X C5016 X AS27137,0
2019 X 7 X C5016 X AS27133,0
2019 X 8 X C5016 X AS27134,0
2019 X 8 X C5016 X AS27000,0
2019 X 8 X C5016 X AS27137,0
2019 X 8 X C5016 X AS27133,0
2019 X 9 X C5016 X AS27134,0
2019 X 9 X C5016 X AS27000,0
2019 X 9 X C5016 X AS27137,0
2019 X 9 X C5016 X AS27133,0
2019 X 7 X C5017 X AS21126,0
2019 X 7 X C5017 X AS46000,0
2019 X 7 X C5017 X AS27132,0
2019 X 7 X C5017 X AS27000,0
2019 X 7 X C5017 X AS27137,0
2019 X 7 X C5017 X AS27138,0
2019 X 7 X C5017 X AS27133,0
2019 X 8 X C5017 X AS21126,0
2019 X 8 X C5017 X AS46000,0
2019 X 8 X C5017 X AS27132,0
2019 X 8 X C5017 X AS27000,0
2019 X 8 X C5017 X AS27137,0
2019 X 8 X C5017 X AS27138,0
2019 X 8 X C5017 X AS27133,0
2019 X 9 X C5017 X AS21126,0
2019 X 9 X C5017 X AS46000,0
2019 X 9 X C5017 X AS27132,0
2019 X 9 X C5017 X AS27000,0
2019 X 9 X C5017 X AS27137,0
2019 X 9 X C5017 X AS27138,0
2019 X 9 X C5017 X AS27133,0
2019 X 7 X C2049 X AS21126,0
2019 X 7 X C2049 X AS46000,0
2019 X 7 X C2049 X AS27134,0
2019 X 7 X C2049 X AS27132,0
2019 X 7 X C2049 X AS27000,0
2019 X 7 X C2049 X AS27139,0
2019 X 7 X C2049 X AS27137,0
2019 X 7 X C2049 X AS27138,0
2019 X 7 X C2049 X AS27133,0
2019 X 8 X C2049 X AS21126,0
2019 X 8 X C2049 X AS46000,0
2019 X 8 X C2049 X AS27134,0
2019 X 8 X C2049 X AS27132,0
2019 X 8 X C2049 X AS27000,0
2019 X 8 X C2049 X AS27139,0
2019 X 8 X C2049 X AS27137,0
2019 X 8 X C2049 X AS27138,0
2019 X 8 X C2049 X AS27133,0
2019 X 9 X C2049 X AS21126,0
2019 X 9 X C2049 X AS46000,0
2019 X 9 X C2049 X AS27134,0
2019 X 9 X C2049 X AS27132,0
2019 X 9 X C2049 X AS27000,0
2019 X 9 X C2049 X AS27139,0
2019 X 9 X C2049 X AS27137,0
2019 X 9 X C2049 X AS27138,0
2019 X 9 X C2049 X AS27133,0
2019 X 7 X C4002 X AS42018,0
2019 X 7 X C4002 X AS27134,0
2019 X 7 X C4002 X AS27132,0
2019 X 7 X C4002 X AS27000,0
2019 X 7 X C4002 X AS27137,0
2019 X 7 X C4002 X AS27138,0
2019 X 7 X C4002 X AS27133,0
2019 X 8 X C4002 X AS42018,0
2019 X 8 X C4002 X AS27134,0
2019 X 8 X C4002 X AS27132,0
2019 X 8 X C4002 X AS27000,0
2019 X 8 X C4002 X AS27137,0
2019 X 8 X C4002 X AS27138,0
2019 X 8 X C4002 X AS27133,0
2019 X 9 X C4002 X AS42018,0
2019 X 9 X C4002 X AS27134,0
2019 X 9 X C4002 X AS27132,0
2019 X 9 X C4002 X AS27000,0
2019 X 9 X C4002 X AS27137,0
2019 X 9 X C4002 X AS27138,0
2019 X 9 X C4002 X AS27133,0
2019 X 7 X C4016 X AS27134,0
2019 X 7 X C4016 X AS27000,0
2019 X 7 X C4016 X AS27138,0
2019 X 7 X C4016 X AS27133,0
2019 X 7 X C4017 X AS46000,0
2019 X 7 X C4017 X AS17005,0
2019 X 7 X C4017 X AS27134,0
