calendar,calendar,site_code,product_code,stock_distributed
2016-06-01,2016-06-01,C1004,AS27137,1.0
2016-07-01,2016-07-01,C1004,AS27137,1.0
2016-08-01,2016-08-01,C1004,AS27137,1.0
2016-09-01,2016-09-01,C1004,AS27137,1.0
2016-10-01,2016-10-01,C1004,AS27137,1.0
2016-11-01,2016-11-01,C1004,AS27137,1.0
2016-12-01,2016-12-01,C1004,AS27137,1.0
2017-01-01,2017-01-01,C1004,AS27137,1.0
2017-02-01,2017-02-01,C1004,AS27137,1.0
2017-03-01,2017-03-01,C1004,AS27137,1.0
2017-04-01,2017-04-01,C1004,AS27137,1.0
2017-05-01,2017-05-01,C1004,AS27137,1.0
2017-06-01,2017-06-01,C1004,AS27137,1.0
2017-07-01,2017-07-01,C1004,AS27137,1.0
2017-08-01,2017-08-01,C1004,AS27137,1.0
2017-09-01,2017-09-01,C1004,AS27137,1.0
2017-10-01,2017-10-01,C1004,AS27137,1.0
2017-11-01,2017-11-01,C1004,AS27137,1.0
2017-12-01,2017-12-01,C1004,AS27137,1.0
2018-01-01,2018-01-01,C1004,AS27137,4.0
2018-02-01,2018-02-01,C1004,AS27137,12.0
2018-03-01,2018-03-01,C1004,AS27137,7.0
2018-04-01,2018-04-01,C1004,AS27137,21.0
2018-05-01,2018-05-01,C1004,AS27137,3.0
2018-06-01,2018-06-01,C1004,AS27137,19.0
2018-07-01,2018-07-01,C1004,AS27137,21.0
2018-08-01,2018-08-01,C1004,AS27137,1.0
2018-09-01,2018-09-01,C1004,AS27137,4.0
2016-01-01,2016-01-01,C1004,AS27138,1.0
2016-02-01,2016-02-01,C1004,AS27138,1.0
2016-03-01,2016-03-01,C1004,AS27138,1.0
2016-04-01,2016-04-01,C1004,AS27138,1.0
2016-05-01,2016-05-01,C1004,AS27138,1.0
2016-06-01,2016-06-01,C1004,AS27138,1.0
2016-07-01,2016-07-01,C1004,AS27138,1.0
2016-08-01,2016-08-01,C1004,AS27138,1.0
2016-09-01,2016-09-01,C1004,AS27138,1.0
2016-10-01,2016-10-01,C1004,AS27138,1.0
2016-11-01,2016-11-01,C1004,AS27138,1.0
2016-12-01,2016-12-01,C1004,AS27138,1.0
2017-01-01,2017-01-01,C1004,AS27138,1.0
2017-02-01,2017-02-01,C1004,AS27138,1.0
2017-03-01,2017-03-01,C1004,AS27138,1.0
2017-04-01,2017-04-01,C1004,AS27138,1.0
2017-05-01,2017-05-01,C1004,AS27138,1.0
2017-06-01,2017-06-01,C1004,AS27138,1.0
2017-07-01,2017-07-01,C1004,AS27138,1.0
2017-08-01,2017-08-01,C1004,AS27138,1.0
2017-09-01,2017-09-01,C1004,AS27138,1.0
2017-10-01,2017-10-01,C1004,AS27138,1.0
2017-11-01,2017-11-01,C1004,AS27138,1.0
2017-12-01,2017-12-01,C1004,AS27138,1.0
2018-01-01,2018-01-01,C1004,AS27138,8.0
2018-02-01,2018-02-01,C1004,AS27138,10.0
2018-03-01,2018-03-01,C1004,AS27138,9.0
2018-04-01,2018-04-01,C1004,AS27138,20.0
2018-05-01,2018-05-01,C1004,AS27138,1.0
2018-06-01,2018-06-01,C1004,AS27138,16.0
2018-07-01,2018-07-01,C1004,AS27138,11.0
2018-08-01,2018-08-01,C1004,AS27138,1.0
2018-09-01,2018-09-01,C1004,AS27138,16.0
2016-01-01,2016-01-01,C1007,AS17005,1.0
2016-02-01,2016-02-01,C1007,AS17005,1.0
2016-03-01,2016-03-01,C1007,AS17005,1.0
2016-04-01,2016-04-01,C1007,AS17005,1.0
2016-05-01,2016-05-01,C1007,AS17005,1.0
2016-06-01,2016-06-01,C1007,AS17005,1.0
2016-07-01,2016-07-01,C1007,AS17005,1.0
2016-08-01,2016-08-01,C1007,AS17005,1.0
2016-09-01,2016-09-01,C1007,AS17005,1.0
2016-10-01,2016-10-01,C1007,AS17005,1.0
2016-11-01,2016-11-01,C1007,AS17005,1.0
2016-12-01,2016-12-01,C1007,AS17005,1.0
2017-01-01,2017-01-01,C1007,AS17005,1.0
2017-02-01,2017-02-01,C1007,AS17005,1.0
2017-03-01,2017-03-01,C1007,AS17005,1.0
2017-04-01,2017-04-01,C1007,AS17005,1.0
2017-05-01,2017-05-01,C1007,AS17005,1.0
2017-06-01,2017-06-01,C1007,AS17005,1.0
2017-07-01,2017-07-01,C1007,AS17005,1.0
2017-08-01,2017-08-01,C1007,AS17005,1.0
2017-09-01,2017-09-01,C1007,AS17005,1.0
2017-10-01,2017-10-01,C1007,AS17005,1.0
2017-11-01,2017-11-01,C1007,AS17005,1.0
2017-12-01,2017-12-01,C1007,AS17005,1.0
2018-01-01,2018-01-01,C1007,AS17005,1.0
2018-02-01,2018-02-01,C1007,AS17005,1.0
2018-03-01,2018-03-01,C1007,AS17005,1.0
2018-04-01,2018-04-01,C1007,AS17005,1.0
2018-05-01,2018-05-01,C1007,AS17005,1.0
2018-06-01,2018-06-01,C1007,AS17005,1.0
2018-07-01,2018-07-01,C1007,AS17005,1.0
2018-08-01,2018-08-01,C1007,AS17005,1.0
2018-09-01,2018-09-01,C1007,AS17005,1.0
2016-01-01,2016-01-01,C1007,AS27000,1.0
2016-02-01,2016-02-01,C1007,AS27000,1.0
2016-03-01,2016-03-01,C1007,AS27000,1.0
2016-04-01,2016-04-01,C1007,AS27000,101.0
2016-05-01,2016-05-01,C1007,AS27000,1.0
2016-06-01,2016-06-01,C1007,AS27000,1.0
2016-07-01,2016-07-01,C1007,AS27000,1.0
2016-08-01,2016-08-01,C1007,AS27000,1.0
2016-09-01,2016-09-01,C1007,AS27000,49.0
2016-10-01,2016-10-01,C1007,AS27000,49.0
2016-11-01,2016-11-01,C1007,AS27000,414.0
2016-12-01,2016-12-01,C1007,AS27000,1.0
2017-01-01,2017-01-01,C1007,AS27000,1.0
2017-02-01,2017-02-01,C1007,AS27000,1.0
2017-03-01,2017-03-01,C1007,AS27000,1.0
2017-04-01,2017-04-01,C1007,AS27000,1.0
2017-05-01,2017-05-01,C1007,AS27000,1.0
2017-06-01,2017-06-01,C1007,AS27000,1.0
2017-07-01,2017-07-01,C1007,AS27000,11.0
2017-08-01,2017-08-01,C1007,AS27000,64.0
2017-09-01,2017-09-01,C1007,AS27000,1.0
2017-10-01,2017-10-01,C1007,AS27000,31.0
2017-11-01,2017-11-01,C1007,AS27000,85.0
2017-12-01,2017-12-01,C1007,AS27000,1.0
2018-01-01,2018-01-01,C1007,AS27000,352.0
2018-02-01,2018-02-01,C1007,AS27000,1.0
2018-03-01,2018-03-01,C1007,AS27000,76.0
2018-04-01,2018-04-01,C1007,AS27000,85.0
2018-05-01,2018-05-01,C1007,AS27000,89.0
2018-06-01,2018-06-01,C1007,AS27000,85.0
2018-07-01,2018-07-01,C1007,AS27000,37.0
2018-08-01,2018-08-01,C1007,AS27000,43.0
2018-09-01,2018-09-01,C1007,AS27000,85.0
2016-01-01,2016-01-01,C1007,AS27132,1.0
2016-02-01,2016-02-01,C1007,AS27132,1.0
2016-03-01,2016-03-01,C1007,AS27132,1.0
2016-04-01,2016-04-01,C1007,AS27132,1.0
2016-05-01,2016-05-01,C1007,AS27132,1.0
2016-06-01,2016-06-01,C1007,AS27132,1.0
2016-07-01,2016-07-01,C1007,AS27132,1.0
2016-08-01,2016-08-01,C1007,AS27132,1.0
2016-09-01,2016-09-01,C1007,AS27132,11.0
2016-10-01,2016-10-01,C1007,AS27132,16.0
2016-11-01,2016-11-01,C1007,AS27132,41.0
2016-12-01,2016-12-01,C1007,AS27132,1.0
2017-01-01,2017-01-01,C1007,AS27132,1.0
2017-02-01,2017-02-01,C1007,AS27132,1.0
2017-03-01,2017-03-01,C1007,AS27132,1.0
2017-04-01,2017-04-01,C1007,AS27132,1.0
2017-05-01,2017-05-01,C1007,AS27132,1.0
2017-06-01,2017-06-01,C1007,AS27132,1.0
2017-07-01,2017-07-01,C1007,AS27132,31.0
2017-08-01,2017-08-01,C1007,AS27132,43.0
2017-09-01,2017-09-01,C1007,AS27132,1.0
2017-10-01,2017-10-01,C1007,AS27132,1.0
2017-11-01,2017-11-01,C1007,AS27132,27.0
2017-12-01,2017-12-01,C1007,AS27132,91.0
2018-01-01,2018-01-01,C1007,AS27132,52.0
2018-02-01,2018-02-01,C1007,AS27132,106.0
2018-03-01,2018-03-01,C1007,AS27132,61.0
2018-04-01,2018-04-01,C1007,AS27132,139.0
2018-05-01,2018-05-01,C1007,AS27132,1.0
2018-06-01,2018-06-01,C1007,AS27132,1.0
2018-07-01,2018-07-01,C1007,AS27132,1.0
2018-08-01,2018-08-01,C1007,AS27132,1.0
2018-09-01,2018-09-01,C1007,AS27132,1.0
2016-01-01,2016-01-01,C1007,AS27133,1.0
2016-02-01,2016-02-01,C1007,AS27133,1.0
2016-03-01,2016-03-01,C1007,AS27133,181.0
2016-04-01,2016-04-01,C1007,AS27133,181.0
2016-05-01,2016-05-01,C1007,AS27133,181.0
2016-06-01,2016-06-01,C1007,AS27133,181.0
2016-07-01,2016-07-01,C1007,AS27133,181.0
2016-08-01,2016-08-01,C1007,AS27133,1.0
2016-09-01,2016-09-01,C1007,AS27133,3.0
2016-10-01,2016-10-01,C1007,AS27133,3.0
2016-11-01,2016-11-01,C1007,AS27133,11.0
2016-12-01,2016-12-01,C1007,AS27133,1.0
2017-01-01,2017-01-01,C1007,AS27133,1.0
2017-02-01,2017-02-01,C1007,AS27133,1.0
2017-03-01,2017-03-01,C1007,AS27133,1.0
2017-04-01,2017-04-01,C1007,AS27133,1.0
2017-05-01,2017-05-01,C1007,AS27133,1.0
2017-06-01,2017-06-01,C1007,AS27133,1.0
2017-07-01,2017-07-01,C1007,AS27133,101.0
2017-08-01,2017-08-01,C1007,AS27133,1.0
2017-09-01,2017-09-01,C1007,AS27133,1.0
2017-10-01,2017-10-01,C1007,AS27133,1.0
2017-11-01,2017-11-01,C1007,AS27133,1.0
2017-12-01,2017-12-01,C1007,AS27133,1.0
2018-01-01,2018-01-01,C1007,AS27133,1.0
2018-02-01,2018-02-01,C1007,AS27133,1.0
2018-03-01,2018-03-01,C1007,AS27133,1.0
2018-04-01,2018-04-01,C1007,AS27133,55.0
2018-05-01,2018-05-01,C1007,AS27133,3.0
2018-06-01,2018-06-01,C1007,AS27133,3.0
2018-07-01,2018-07-01,C1007,AS27133,16.0
2018-08-01,2018-08-01,C1007,AS27133,7.0
2018-09-01,2018-09-01,C1007,AS27133,1.0
2016-01-01,2016-01-01,C1007,AS27134,1.0
2016-02-01,2016-02-01,C1007,AS27134,201.0
2016-03-01,2016-03-01,C1007,AS27134,1.0
2016-04-01,2016-04-01,C1007,AS27134,1.0
2016-05-01,2016-05-01,C1007,AS27134,1.0
2016-06-01,2016-06-01,C1007,AS27134,1.0
2016-07-01,2016-07-01,C1007,AS27134,251.0
2016-08-01,2016-08-01,C1007,AS27134,1.0
2016-09-01,2016-09-01,C1007,AS27134,2.0
2016-10-01,2016-10-01,C1007,AS27134,2.0
2016-11-01,2016-11-01,C1007,AS27134,5.0
2016-12-01,2016-12-01,C1007,AS27134,1.0
2017-01-01,2017-01-01,C1007,AS27134,1.0
2017-02-01,2017-02-01,C1007,AS27134,1.0
2017-03-01,2017-03-01,C1007,AS27134,1.0
2017-04-01,2017-04-01,C1007,AS27134,1.0
2017-05-01,2017-05-01,C1007,AS27134,1.0
2017-06-01,2017-06-01,C1007,AS27134,1.0
2017-07-01,2017-07-01,C1007,AS27134,101.0
2017-08-01,2017-08-01,C1007,AS27134,1.0
2017-09-01,2017-09-01,C1007,AS27134,1.0
2017-10-01,2017-10-01,C1007,AS27134,1.0
2017-11-01,2017-11-01,C1007,AS27134,1.0
2017-12-01,2017-12-01,C1007,AS27134,101.0
2018-01-01,2018-01-01,C1007,AS27134,1.0
2018-02-01,2018-02-01,C1007,AS27134,106.0
2018-03-01,2018-03-01,C1007,AS27134,1.0
2018-04-01,2018-04-01,C1007,AS27134,13.0
2018-05-01,2018-05-01,C1007,AS27134,24.0
2018-06-01,2018-06-01,C1007,AS27134,27.0
2018-07-01,2018-07-01,C1007,AS27134,27.0
2018-08-01,2018-08-01,C1007,AS27134,36.0
2018-09-01,2018-09-01,C1007,AS27134,1.0
2016-01-01,2016-01-01,C1007,AS27137,1.0
2016-02-01,2016-02-01,C1007,AS27137,1.0
2016-03-01,2016-03-01,C1007,AS27137,1.0
2016-04-01,2016-04-01,C1007,AS27137,1.0
2016-05-01,2016-05-01,C1007,AS27137,1.0
2016-06-01,2016-06-01,C1007,AS27137,1.0
2016-07-01,2016-07-01,C1007,AS27137,61.0
2016-08-01,2016-08-01,C1007,AS27137,1.0
2016-09-01,2016-09-01,C1007,AS27137,10.0
2016-10-01,2016-10-01,C1007,AS27137,10.0
2016-11-01,2016-11-01,C1007,AS27137,1.0
2016-12-01,2016-12-01,C1007,AS27137,1.0
2017-01-01,2017-01-01,C1007,AS27137,1.0
2017-02-01,2017-02-01,C1007,AS27137,1.0
2017-03-01,2017-03-01,C1007,AS27137,1.0
2017-04-01,2017-04-01,C1007,AS27137,1.0
2017-05-01,2017-05-01,C1007,AS27137,1.0
2017-06-01,2017-06-01,C1007,AS27137,1.0
2017-07-01,2017-07-01,C1007,AS27137,1.0
2017-08-01,2017-08-01,C1007,AS27137,21.0
2017-09-01,2017-09-01,C1007,AS27137,1.0
2017-10-01,2017-10-01,C1007,AS27137,1.0
2017-11-01,2017-11-01,C1007,AS27137,61.0
2017-12-01,2017-12-01,C1007,AS27137,1.0
2018-01-01,2018-01-01,C1007,AS27137,31.0
2018-02-01,2018-02-01,C1007,AS27137,51.0
2018-03-01,2018-03-01,C1007,AS27137,41.0
2018-04-01,2018-04-01,C1007,AS27137,21.0
2018-05-01,2018-05-01,C1007,AS27137,45.0
2018-06-01,2018-06-01,C1007,AS27137,29.0
2018-07-01,2018-07-01,C1007,AS27137,40.0
2018-08-01,2018-08-01,C1007,AS27137,20.0
2018-09-01,2018-09-01,C1007,AS27137,35.0
2016-01-01,2016-01-01,C1007,AS27138,1.0
2016-02-01,2016-02-01,C1007,AS27138,1.0
2016-03-01,2016-03-01,C1007,AS27138,1.0
2016-04-01,2016-04-01,C1007,AS27138,1.0
2016-05-01,2016-05-01,C1007,AS27138,1.0
2016-06-01,2016-06-01,C1007,AS27138,1.0
2016-07-01,2016-07-01,C1007,AS27138,1.0
2016-08-01,2016-08-01,C1007,AS27138,1.0
2016-09-01,2016-09-01,C1007,AS27138,11.0
2016-10-01,2016-10-01,C1007,AS27138,21.0
2016-11-01,2016-11-01,C1007,AS27138,11.0
2016-12-01,2016-12-01,C1007,AS27138,1.0
2017-01-01,2017-01-01,C1007,AS27138,1.0
2017-02-01,2017-02-01,C1007,AS27138,1.0
2017-03-01,2017-03-01,C1007,AS27138,1.0
2017-04-01,2017-04-01,C1007,AS27138,1.0
2017-05-01,2017-05-01,C1007,AS27138,16.0
2017-06-01,2017-06-01,C1007,AS27138,1.0
2017-07-01,2017-07-01,C1007,AS27138,36.0
2017-08-01,2017-08-01,C1007,AS27138,1.0
2017-09-01,2017-09-01,C1007,AS27138,1.0
2017-10-01,2017-10-01,C1007,AS27138,1.0
2017-11-01,2017-11-01,C1007,AS27138,1.0
2017-12-01,2017-12-01,C1007,AS27138,1.0
2018-01-01,2018-01-01,C1007,AS27138,1.0
2018-02-01,2018-02-01,C1007,AS27138,1.0
2018-03-01,2018-03-01,C1007,AS27138,1.0
2018-04-01,2018-04-01,C1007,AS27138,1.0
2018-05-01,2018-05-01,C1007,AS27138,1.0
2018-06-01,2018-06-01,C1007,AS27138,1.0
2018-07-01,2018-07-01,C1007,AS27138,1.0
2018-08-01,2018-08-01,C1007,AS27138,1.0
2018-09-01,2018-09-01,C1007,AS27138,1.0
2016-01-01,2016-01-01,C1007,AS27139,1.0
2016-02-01,2016-02-01,C1007,AS27139,1.0
2016-03-01,2016-03-01,C1007,AS27139,1.0
2016-04-01,2016-04-01,C1007,AS27139,1.0
2016-05-01,2016-05-01,C1007,AS27139,1.0
2016-06-01,2016-06-01,C1007,AS27139,1.0
2016-07-01,2016-07-01,C1007,AS27139,1.0
2016-08-01,2016-08-01,C1007,AS27139,1.0
2016-09-01,2016-09-01,C1007,AS27139,1.0
2016-10-01,2016-10-01,C1007,AS27139,1.0
2016-11-01,2016-11-01,C1007,AS27139,1.0
2016-12-01,2016-12-01,C1007,AS27139,1.0
2017-01-01,2017-01-01,C1007,AS27139,1.0
2017-02-01,2017-02-01,C1007,AS27139,1.0
2017-03-01,2017-03-01,C1007,AS27139,1.0
2017-04-01,2017-04-01,C1007,AS27139,1.0
2017-05-01,2017-05-01,C1007,AS27139,1.0
2017-06-01,2017-06-01,C1007,AS27139,1.0
2017-07-01,2017-07-01,C1007,AS27139,1.0
2017-08-01,2017-08-01,C1007,AS27139,1.0
2017-09-01,2017-09-01,C1007,AS27139,1.0
2017-10-01,2017-10-01,C1007,AS27139,1.0
2017-11-01,2017-11-01,C1007,AS27139,1.0
2017-12-01,2017-12-01,C1007,AS27139,1.0
2018-01-01,2018-01-01,C1007,AS27139,1.0
2018-02-01,2018-02-01,C1007,AS27139,1.0
2018-03-01,2018-03-01,C1007,AS27139,1.0
2018-04-01,2018-04-01,C1007,AS27139,1.0
2018-05-01,2018-05-01,C1007,AS27139,1.0
2018-06-01,2018-06-01,C1007,AS27139,1.0
2018-07-01,2018-07-01,C1007,AS27139,1.0
2018-08-01,2018-08-01,C1007,AS27139,1.0
2018-09-01,2018-09-01,C1007,AS27139,1.0
2016-01-01,2016-01-01,C1007,AS42018,1.0
2016-02-01,2016-02-01,C1007,AS42018,1.0
2016-03-01,2016-03-01,C1007,AS42018,1.0
2016-04-01,2016-04-01,C1007,AS42018,1.0
2016-05-01,2016-05-01,C1007,AS42018,1.0
2016-06-01,2016-06-01,C1007,AS42018,1.0
2016-07-01,2016-07-01,C1007,AS42018,1.0
2016-08-01,2016-08-01,C1007,AS42018,1.0
2016-09-01,2016-09-01,C1007,AS42018,1.0
2016-10-01,2016-10-01,C1007,AS42018,1.0
2016-11-01,2016-11-01,C1007,AS42018,1.0
2016-12-01,2016-12-01,C1007,AS42018,1.0
2017-01-01,2017-01-01,C1007,AS42018,1.0
2017-02-01,2017-02-01,C1007,AS42018,1.0
2017-03-01,2017-03-01,C1007,AS42018,1.0
2017-04-01,2017-04-01,C1007,AS42018,1.0
2017-05-01,2017-05-01,C1007,AS42018,1.0
2017-06-01,2017-06-01,C1007,AS42018,1.0
2017-07-01,2017-07-01,C1007,AS42018,1.0
2017-08-01,2017-08-01,C1007,AS42018,1.0
2017-09-01,2017-09-01,C1007,AS42018,1.0
2017-10-01,2017-10-01,C1007,AS42018,1.0
2017-11-01,2017-11-01,C1007,AS42018,1.0
2017-12-01,2017-12-01,C1007,AS42018,1.0
2018-01-01,2018-01-01,C1007,AS42018,1.0
2018-02-01,2018-02-01,C1007,AS42018,1.0
2018-03-01,2018-03-01,C1007,AS42018,1.0
2018-04-01,2018-04-01,C1007,AS42018,1.0
2018-05-01,2018-05-01,C1007,AS42018,1.0
2018-06-01,2018-06-01,C1007,AS42018,1.0
2018-07-01,2018-07-01,C1007,AS42018,1.0
2018-08-01,2018-08-01,C1007,AS42018,1.0
2018-09-01,2018-09-01,C1007,AS42018,1.0
2016-01-01,2016-01-01,C1007,AS46000,1.0
2016-02-01,2016-02-01,C1007,AS46000,1.0
2016-03-01,2016-03-01,C1007,AS46000,1.0
2016-04-01,2016-04-01,C1007,AS46000,1.0
2016-05-01,2016-05-01,C1007,AS46000,1.0
2016-06-01,2016-06-01,C1007,AS46000,1.0
2016-07-01,2016-07-01,C1007,AS46000,1.0
2016-08-01,2016-08-01,C1007,AS46000,1.0
2016-09-01,2016-09-01,C1007,AS46000,1.0
2016-10-01,2016-10-01,C1007,AS46000,1.0
2016-11-01,2016-11-01,C1007,AS46000,1.0
2016-12-01,2016-12-01,C1007,AS46000,1.0
2017-01-01,2017-01-01,C1007,AS46000,1.0
2017-02-01,2017-02-01,C1007,AS46000,1.0
2017-03-01,2017-03-01,C1007,AS46000,1.0
2017-04-01,2017-04-01,C1007,AS46000,1.0
2017-05-01,2017-05-01,C1007,AS46000,1.0
2017-06-01,2017-06-01,C1007,AS46000,1.0
2017-07-01,2017-07-01,C1007,AS46000,1.0
2017-08-01,2017-08-01,C1007,AS46000,1.0
2017-09-01,2017-09-01,C1007,AS46000,1.0
